(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (S) Re-Susceptiveis, (D_E) Expostos detectados, (D_I) Infectados detectados
7411,65,99,2258,20,126,21
7406,70,97,2262,19,125,21
7403,72,99,2263,18,124,21
7402,69,97,2267,20,124,21
7400,67,99,2269,18,126,21
7396,68,100,2271,18,126,21
7392,70,101,2273,17,126,21
7390,70,102,2275,18,124,21
7387,72,102,2275,18,125,21
7385,71,104,2276,19,124,21
7382,74,102,2278,20,123,21
7379,72,104,2280,22,122,21
7378,73,101,2284,22,121,21
7374,76,99,2288,21,121,21
7374,76,96,2292,22,119,21
7372,77,97,2294,22,117,21
7367,82,93,2296,22,119,21
7363,82,96,2297,22,119,21
7361,80,97,2300,22,119,21
7360,78,99,2301,22,119,21
7359,76,103,2301,20,120,21
7355,77,102,2304,21,120,21
7353,76,101,2307,21,121,21
7350,76,103,2311,21,118,21
7348,76,100,2316,22,117,21
7348,75,95,2320,20,121,21
7347,74,96,2322,19,121,21
7347,70,94,2326,22,120,21
7343,73,94,2330,21,118,21
7341,73,91,2335,23,116,21
7338,75,89,2335,24,118,21
7335,76,89,2338,23,118,21
7331,79,88,2342,23,116,21
7326,84,89,2343,23,114,21
7324,82,92,2346,22,113,21
7324,78,93,2347,23,114,21
7322,78,95,2348,22,114,21
7322,74,98,2349,22,114,21
7317,75,101,2350,22,114,21
7314,77,98,2354,22,114,21
7313,76,98,2356,21,115,21
7313,74,98,2359,18,117,21
7310,74,98,2362,19,116,21
7307,76,98,2362,18,118,21
7304,76,98,2366,19,116,21
7298,81,97,2368,19,116,21
7295,80,98,2370,19,117,21
7292,81,96,2374,19,117,21
7290,78,96,2376,22,117,21
7289,73,101,2375,24,117,21
7285,74,102,2377,24,117,21
7283,73,102,2381,23,117,21
7284,72,103,2381,21,118,21
7283,69,104,2383,20,120,21
7281,69,103,2389,21,116,21
7278,70,103,2392,20,116,21
7276,70,104,2392,19,118,21
7271,74,102,2394,19,119,21
7266,78,100,2397,19,119,21
7262,80,99,2398,19,121,21
7261,77,100,2401,18,122,21
7256,80,102,2403,17,121,21
7253,81,101,2406,17,121,21
7253,78,101,2411,16,120,21
7249,78,105,2413,16,118,21
7246,77,106,2415,17,118,21
7245,76,105,2418,18,117,21
7242,75,107,2419,17,118,22
7240,73,111,2421,15,118,22
7237,72,114,2424,15,116,22
7235,68,118,2425,15,117,22
7231,71,114,2428,15,119,22
7227,72,115,2430,15,119,22
7226,70,116,2432,16,118,22
7220,75,114,2435,17,117,22
7218,74,113,2439,17,117,22
7217,72,110,2442,18,119,22
7214,73,110,2447,18,116,22
7214,68,111,2452,20,113,22
7213,68,113,2452,21,111,22
7215,66,113,2454,20,110,22
7214,66,110,2457,20,111,22
7212,64,113,2459,18,112,22
7210,62,116,2462,17,111,22
7207,63,115,2465,17,111,22
7203,68,114,2467,17,109,22
7201,71,115,2466,15,110,22
7200,70,115,2469,17,107,22
7196,74,113,2470,17,108,22
7192,75,114,2472,16,109,22
7188,76,116,2474,15,109,22
7185,74,120,2476,15,108,22
7180,76,121,2478,16,107,22
7176,76,122,2480,17,107,22
7176,73,119,2485,17,108,22
7174,71,119,2486,17,111,22
7174,67,120,2487,19,111,22
7172,69,117,2491,19,110,22
7172,64,118,2495,19,110,22
7170,64,114,2500,20,110,22
7164,66,116,2500,22,110,22
7162,67,111,2504,22,112,22
7157,69,113,2505,22,112,22
7156,64,117,2506,21,114,22
7154,63,118,2509,19,115,22
7153,60,119,2511,19,116,22
7149,63,118,2515,19,114,22
7149,61,118,2517,20,113,22
7144,64,116,2520,22,112,22
7144,62,114,2523,22,113,22
7141,61,116,2526,23,111,22
7140,61,111,2533,23,110,22
7134,65,111,2535,24,109,22
7131,66,110,2538,24,109,22
7131,63,112,2540,23,109,22
7127,65,113,2543,22,108,22
7124,67,110,2545,21,111,22
7122,64,110,2545,23,114,22
7118,66,107,2548,24,115,22
7116,64,107,2548,24,119,22
7111,67,106,2549,24,121,22
7109,68,103,2553,23,122,22
7109,65,103,2556,24,121,22
7109,63,104,2558,24,120,22
7107,63,102,2560,22,124,22
7106,62,105,2560,19,126,22
7104,59,108,2562,19,126,22
7101,58,109,2565,20,125,22
7096,61,110,2567,20,124,22
7096,61,107,2572,20,122,22
7092,63,106,2575,20,122,22
7090,62,106,2579,20,121,22
7089,61,109,2580,19,119,23
7087,61,111,2582,20,116,23
7083,63,111,2585,19,116,23
7080,62,111,2588,20,116,23
7077,63,109,2593,20,115,23
7073,64,110,2595,20,115,23
7069,63,114,2596,21,114,23
7065,67,111,2601,20,113,23
7063,65,113,2605,20,111,23
7060,66,112,2609,19,111,23
7057,68,111,2609,19,113,23
7056,69,113,2608,17,114,23
7054,67,115,2611,17,113,23
7053,65,116,2614,15,114,23
7051,66,115,2616,16,113,23
7046,67,118,2616,16,114,23
7044,65,118,2619,17,114,23
7042,66,117,2619,16,117,23
7041,64,117,2622,15,118,23
7038,63,118,2625,16,117,23
7034,64,119,2627,16,117,23
7033,62,118,2632,17,115,23
7032,62,116,2638,16,113,23
7028,64,117,2642,16,110,23
7026,65,116,2645,18,107,23
7024,64,117,2646,19,107,23
7022,60,121,2646,19,109,23
7021,61,120,2651,19,105,23
7016,65,122,2651,19,104,23
7016,64,117,2656,18,106,23
7013,63,117,2659,19,106,23
7011,64,115,2660,20,107,23
7008,63,117,2662,20,107,23
7006,65,114,2667,18,107,23
7004,64,112,2668,18,111,23
7002,60,113,2669,21,112,23
7000,63,110,2672,20,112,23
6997,65,107,2677,20,111,23
6994,66,105,2680,20,112,23
6989,71,101,2683,19,114,23
6990,70,98,2686,20,113,23
6986,72,97,2688,19,115,23
6985,72,94,2691,19,116,23
6984,69,96,2695,19,114,23
6980,71,97,2697,17,115,23
6980,68,92,2701,19,117,23
6979,65,92,2704,20,117,23
6976,62,96,2704,21,118,23
6975,61,98,2706,20,117,23
6971,62,100,2709,20,115,23
6969,60,103,2712,19,114,23
6967,60,105,2712,18,115,23
6965,59,107,2714,16,116,23
6964,55,108,2718,18,114,23
6962,57,106,2724,17,111,23
6962,58,100,2726,15,116,23
6960,56,98,2727,17,119,23
6959,54,101,2729,17,117,23
6957,56,100,2731,16,117,23
6956,50,103,2732,18,118,23
6954,49,101,2737,18,118,23
6951,50,100,2742,19,115,23
6950,49,98,2745,18,117,23
6948,50,97,2747,19,116,23
6948,51,92,2751,18,117,23
6946,48,94,2750,22,117,23
6944,49,92,2751,19,122,23
6944,50,89,2753,20,121,23
6942,48,92,2756,20,119,23
6938,51,91,2759,18,120,23
6936,51,92,2762,16,120,23
6937,47,92,2764,17,120,23
6938,45,90,2769,17,118,23
6937,46,88,2773,14,119,23
6934,47,88,2777,15,116,23
6936,46,89,2777,14,115,23
6933,48,86,2783,15,112,23
6930,49,85,2786,15,112,23
6928,48,84,2789,15,113,23
6926,48,85,2791,15,112,23
6923,49,83,2795,15,112,23
6923,47,85,2795,17,110,23
6922,45,86,2796,18,110,23
6921,42,91,2797,18,108,23
6920,39,93,2799,16,110,23
6918,40,93,2801,15,110,23
6916,41,92,2803,14,111,23
6911,46,90,2805,12,113,23
6910,46,89,2809,13,110,23
6909,45,89,2809,13,112,23
6905,47,87,2812,14,112,23
6903,45,89,2815,14,111,23
6902,45,88,2819,15,108,23
6899,45,88,2822,16,107,23
6898,44,89,2825,17,104,23
6893,48,90,2825,17,104,23
6888,53,88,2829,16,103,23
6886,52,88,2833,17,101,23
6884,54,88,2832,17,102,23
6878,60,87,2834,16,101,24
6873,64,84,2836,16,103,24
6873,61,86,2838,16,102,24
6871,61,84,2843,16,101,24
6869,59,86,2846,17,99,24
6867,58,85,2849,16,101,24
6866,55,88,2852,15,100,24
6866,55,86,2856,14,99,24
6863,53,90,2857,14,99,24
6862,54,86,2858,14,101,25
6862,50,89,2859,15,100,25
6863,48,89,2859,15,101,25
6861,45,92,2862,16,99,25
6858,46,92,2866,15,98,25
6855,48,93,2867,15,97,25
6853,47,93,2869,15,98,25
6851,45,93,2873,15,98,25
6850,45,93,2877,16,94,25
6849,45,94,2877,17,93,25
6847,44,95,2880,16,93,25
6844,44,96,2882,14,95,25
6844,41,97,2883,15,95,25
6840,43,97,2887,16,92,25
6837,44,96,2890,15,93,25
6836,40,96,2893,17,93,25
6833,44,95,2897,17,89,25
6833,42,94,2901,17,88,25
6830,44,93,2901,17,90,25
6829,41,91,2904,18,92,25
6825,43,93,2908,18,88,25
6826,38,94,2910,18,89,25
6823,42,91,2914,18,87,25
6822,40,94,2916,18,85,25
6816,44,95,2918,18,84,25
6813,46,94,2922,17,83,25
6812,46,93,2930,17,77,25
6808,48,94,2932,16,77,25
6805,47,94,2935,18,76,25
6804,46,93,2936,18,78,25
6801,48,92,2938,18,78,25
6801,47,91,2941,17,78,25
6799,45,93,2943,16,79,25
6794,50,92,2944,16,79,25
6792,54,89,2946,16,78,25
6790,53,90,2946,17,79,25
6789,52,88,2952,16,78,25
6786,54,88,2952,15,80,25
6783,55,87,2957,16,77,25
6780,55,86,2960,17,77,25
6779,54,90,2959,17,76,25
6778,54,89,2962,16,76,25
6776,52,90,2965,16,76,25
6774,52,87,2970,17,75,25
6772,50,92,2970,17,74,25
6770,51,92,2971,16,75,25
6769,51,92,2975,16,72,25
6767,52,89,2979,15,73,25
6764,55,87,2981,16,71,26
6758,61,86,2984,15,70,26
6755,61,85,2985,16,72,26
6753,61,84,2989,16,71,26
6751,62,86,2991,15,69,26
6751,60,86,2993,14,70,26
6751,60,88,2994,13,68,26
6750,59,81,2998,15,71,26
6748,59,81,3002,14,70,26
6744,60,83,3003,13,71,26
6748,56,83,2999,15,73,26
6748,52,84,3002,14,74,26
6745,52,84,3005,14,74,26
6742,52,84,3008,15,73,26
6741,47,88,3010,15,73,26
6737,48,89,3011,15,74,26
6736,49,88,3013,12,76,26
6735,48,87,3015,12,77,26
6731,47,88,3016,15,77,26
6729,47,90,3018,15,75,26
6725,50,90,3018,15,76,26
6723,47,91,3020,17,76,26
6725,46,91,3021,18,73,26
6724,42,94,3024,18,72,26
6722,43,91,3025,19,74,26
6720,46,92,3026,19,71,26
6716,48,93,3027,17,73,26
6717,45,92,3031,18,71,26
6715,46,91,3033,18,71,26
6715,44,90,3039,17,69,26
6714,43,90,3040,16,71,26
6713,43,90,3041,14,73,26
6712,44,86,3044,13,75,26
6707,48,85,3046,13,75,26
6708,47,85,3047,13,74,26
6706,45,85,3050,14,74,26
6705,47,78,3054,14,76,26
6705,43,76,3059,15,76,26
6701,45,75,3062,15,76,26
6700,45,74,3065,15,75,26
6698,47,70,3068,16,75,26
6695,49,70,3070,16,74,26
6696,49,71,3069,15,74,26
6693,48,73,3071,14,75,26
6693,44,75,3074,12,76,26
6690,44,73,3078,13,76,26
6690,44,71,3079,14,76,26
6688,44,73,3081,14,74,26
6689,43,70,3086,13,73,26
6687,43,70,3089,12,73,26
6684,46,70,3090,11,73,26
6682,45,70,3093,11,73,26
6682,45,65,3096,11,75,26
6677,50,65,3097,12,73,26
6676,49,67,3100,12,70,26
6674,47,64,3103,15,71,26
6672,48,62,3105,15,72,26
6670,46,64,3106,14,74,26
6670,43,68,3106,11,76,26
6669,41,66,3109,11,78,26
6669,40,64,3112,12,77,26
6664,43,62,3114,13,78,26
6663,41,62,3116,15,77,26
6663,35,65,3120,16,75,26
6662,35,68,3119,15,75,26
6661,34,71,3117,15,76,26
6662,33,69,3118,12,80,26
6661,34,67,3121,11,80,26
6658,37,66,3122,9,82,26
6657,37,65,3125,9,81,26
6654,38,66,3128,8,80,26
6652,36,68,3131,8,79,26
6652,34,68,3133,7,80,26
6649,37,64,3139,7,78,26
6646,38,64,3142,6,78,26
6644,40,62,3143,5,80,26
6643,37,61,3147,8,77,27
6641,36,63,3148,9,76,27
6640,34,63,3153,9,74,27
6641,30,65,3157,9,71,27
6639,29,64,3160,10,71,27
6639,25,66,3161,11,71,27
6634,30,63,3164,11,71,27
6634,31,65,3162,10,71,27
6630,34,62,3164,9,74,27
6628,32,64,3166,8,75,27
6627,30,66,3170,7,73,27
6625,30,67,3170,6,75,27
6624,30,66,3173,6,74,27
6624,27,69,3176,6,71,27
6625,23,70,3179,6,70,27
6624,24,66,3181,6,72,27
6621,26,64,3185,6,71,27
6621,26,61,3189,5,71,27
6619,26,60,3191,7,70,27
6618,24,59,3193,5,74,27
6617,22,61,3195,6,72,27
6616,22,56,3201,6,72,27
6616,24,52,3202,5,74,27
6613,23,53,3204,6,74,27
6615,21,55,3202,5,75,27
