(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
16240888,704675,1259276,2835771,0,0,88
16089127,719082,1293772,2938630,0,0,88
15934689,733497,1328119,3044305,0,0,88
15777577,748137,1362029,3152866,0,0,88
15617974,762752,1395619,3264265,0,0,88
15456097,776991,1429102,3378420,0,0,88
15292135,790608,1462599,3495268,0,0,88
15126253,803446,1496149,3614763,0,0,88
14958595,815431,1529712,3736873,0,0,88
14789283,826576,1563166,3861585,0,0,88
14618416,836983,1596312,3988899,0,0,88
14446070,846839,1628867,4118834,0,0,88
14272301,856416,1660470,4251423,0,0,88
14097185,865944,1690797,4386684,0,0,88
13921020,875015,1720109,4524466,0,0,88
13744076,883299,1748614,4664622,0,0,88
13566587,890579,1776414,4807030,0,0,88
13388763,896729,1803535,4951583,0,0,88
13210785,901711,1829920,5098195,0,0,88
13032805,905577,1855433,5246795,0,0,88
12854953,908469,1879855,5397333,0,0,88
12677329,910616,1902891,5549774,0,0,88
12500006,912338,1924161,5704104,0,0,88
12323133,913725,1943509,5860243,0,0,88
12147018,914346,1961287,6017959,0,0,88
11971890,914003,1977646,6177071,0,0,88
11797951,912570,1992670,6337419,0,0,88
11625378,909993,2006383,6498855,0,0,88
11454321,906291,2018744,6661254,0,0,88
11284903,901551,2029650,6824506,0,0,88
11117224,895934,2038935,6988517,0,0,88
10951355,889671,2046369,7153214,0,0,88
10787343,883061,2051667,7318539,0,0,88
10625345,876023,2054916,7484326,0,0,88
10465553,868306,2056398,7650353,0,0,88
10308102,859826,2056242,7816440,0,0,88
10153110,850538,2054537,7982424,0,0,88
10000673,840444,2051335,8148158,0,0,88
9850867,829585,2046650,8313508,0,0,88
9703752,818046,2040457,8478356,0,0,88
9559364,805954,2032693,8642599,0,0,88
9417724,793478,2023258,8806150,0,0,88
9278832,780830,2012012,8968936,0,0,88
9142737,768021,1999026,9130826,0,0,88
9009534,754863,1984584,9291629,0,0,88
8879253,741363,1968774,9451219,0,0,88
8751918,727537,1951678,9609477,0,0,88
8627541,713411,1933367,9766291,0,0,88
8506130,699019,1913902,9921560,0,0,88
8387681,684403,1893336,10075190,0,0,88
8272185,669616,1871712,10227097,0,0,88
8159623,654720,1849065,10377202,0,0,88
8049968,639784,1825419,10525439,0,0,88
7943186,624887,1800790,10671747,0,0,88
7839256,610034,1775276,10816044,0,0,88
7738194,595072,1749141,10958203,0,0,88
7639946,580107,1722362,11098194,0,0,88
7544457,565241,1694920,11235993,0,0,88
7451672,550551,1666817,11371570,0,0,88
7361544,536090,1638082,11504894,0,0,88
7274026,521885,1608770,11635929,0,0,88
7189077,507941,1578958,11764635,0,0,88
7106657,494235,1548748,11890970,0,0,88
7026732,480721,1518269,12014888,0,0,88
6949270,467330,1487672,12136338,0,0,88
6874243,453965,1457136,12255267,0,0,88
6801613,440564,1426795,12371638,0,0,88
6731290,427297,1396522,12485501,0,0,88
6663196,414281,1366238,12596896,0,0,88
6597259,401592,1335907,12705852,0,0,88
6533417,389279,1305521,12812392,0,0,88
6471614,377360,1275107,12916529,0,0,88
6411797,365825,1244719,13018269,0,0,88
6353924,354633,1214444,13117609,0,0,88
6297958,343714,1184398,13214540,0,0,88
6243867,332969,1154731,13309043,0,0,88
6191625,322275,1125614,13401096,0,0,88
6141166,311702,1096995,13490748,0,0,88
6092410,301374,1068752,13578074,0,0,88
6045294,291353,1040832,13663131,0,0,88
5999762,281678,1013207,13745964,0,0,88
5955760,272366,985871,13826613,0,0,88
5913242,263412,958845,13905111,0,0,88
5872166,254791,932169,13981484,0,0,88
5832497,246454,905911,14055749,0,0,88
5794203,238330,880159,14127918,0,0,88
5757260,230329,855026,14197995,0,0,88
5721633,222405,830569,14266003,0,0,88
5687256,214674,806653,14332027,0,0,88
5654077,207185,783219,14396129,0,0,88
5622051,199968,760228,14458363,0,0,88
5591135,193038,737658,14518778,0,0,88
5561292,186398,715504,14577416,0,0,88
5532485,180033,693776,14634315,0,0,88
5504687,173916,672503,14689505,0,0,88
5477868,168003,651727,14743012,0,0,88
5452008,162237,631509,14794856,0,0,88
5427086,156549,611923,14845052,0,0,88
5403065,150970,592922,14893653,0,0,88
5379899,145562,574422,14940726,0,0,88
5357556,140347,556384,14986322,0,0,88
5336003,135339,538781,15030487,0,0,88
5315211,130541,521596,15073262,0,0,88
5295153,125951,504820,15114686,0,0,88
5275805,121553,488459,15154793,0,0,88
5257146,117328,472525,15193611,0,0,88
5239155,113242,457045,15231167,0,0,88
5221818,109257,442052,15267482,0,0,88
5205118,105334,427580,15302578,0,0,88
5189024,101513,413568,15336506,0,0,88
5173509,97820,399969,15369312,0,0,88
5158550,94266,386757,15401036,0,0,88
5144126,90858,373912,15431714,0,0,88
5130217,87596,361418,15461379,0,0,88
5116804,84476,349268,15490062,0,0,88
5103871,81489,337461,15517790,0,0,88
5091402,78618,326001,15544588,0,0,88
5079385,75845,314901,15570479,0,0,88
5067806,73143,304179,15595482,0,0,88
5056655,70490,293850,15619616,0,0,88
5045911,67909,283871,15642919,0,0,88
5035556,65417,274212,15665425,0,0,88
5025575,63020,264853,15687162,0,0,88
5015953,60721,255777,15708159,0,0,88
5006677,58521,246972,15728440,0,0,88
4997734,56418,238430,15748028,0,0,88
4989112,54405,230148,15766945,0,0,88
4980801,52473,222124,15785211,0,0,88
4972792,50612,214363,15802844,0,0,88
4965075,48805,206872,15819858,0,0,88
4957644,47035,199662,15836269,0,0,88
4950486,45307,192719,15852098,0,0,88
4943589,43635,186013,15867373,0,0,88
4936942,42026,179529,15882113,0,0,88
4930536,40481,173253,15896340,0,0,88
4924361,39002,167177,15910070,0,0,88
4918408,37588,161292,15923322,0,0,88
4912670,36235,155593,15936112,0,0,88
4907139,34940,150077,15948454,0,0,88
4901808,33696,144743,15960362,0,0,88
4896672,32496,139594,15971849,0,0,88
4891724,31328,134634,15982924,0,0,88
4886960,30183,129868,15993599,0,0,88
4882371,29068,125279,16003892,0,0,88
4877950,27992,120850,16013818,0,0,88
4873689,26956,116573,16023392,0,0,88
4869583,25962,112438,16032627,0,0,88
4865625,25011,108438,16041536,0,0,88
4861810,24102,104568,16050130,0,0,88
4858133,23233,100825,16058420,0,0,88
4854588,22401,97205,16066415,0,0,88
4851173,21602,93708,16074127,0,0,88
4847882,20832,90335,16081562,0,0,88
4844712,20083,87088,16088728,0,0,88
4841660,19349,83969,16095632,0,0,88
4838720,18633,80971,16102286,0,0,88
4835888,17941,78080,16108701,0,0,88
4833159,17275,75290,16114886,0,0,88
4830529,16636,72596,16120849,0,0,88
4827994,16025,69991,16126600,0,0,88
4825551,15440,67474,16132145,0,0,88
4823196,14881,65040,16137493,0,0,88
4820927,14347,62687,16142650,0,0,88
4818739,13834,60415,16147621,0,0,88
4816632,13341,58223,16152414,0,0,88
4814602,12863,56112,16157033,0,0,88
4812647,12396,54085,16161483,0,0,88
4810765,11938,52139,16165769,0,0,88
4808951,11494,50265,16169899,0,0,88
4807204,11067,48459,16173880,0,0,88
4805520,10656,46716,16177718,0,0,88
4803898,10262,45032,16181418,0,0,88
4802334,9886,43405,16184985,0,0,88
4800827,9526,41833,16188424,0,0,88
4799374,9183,40313,16191740,0,0,88
4797974,8854,38846,16194936,0,0,88
4796625,8538,37430,16198017,0,0,88
4795325,8233,36065,16200987,0,0,88
4794073,7937,34753,16203847,0,0,88
