(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
1559411,109787,224899,617963,0,0,8
1538432,110177,227868,635583,0,0,8
1517480,110512,230640,653427,0,0,8
1496571,110811,233189,671489,0,0,8
1475743,111024,235553,689741,0,0,8
1455024,111123,237752,708161,0,0,8
1434439,111092,239797,726732,0,0,8
1414010,110924,241692,745434,0,0,8
1393756,110618,243433,764253,0,0,8
1373694,110185,245005,783176,0,0,8
1353834,109644,246391,802192,0,0,8
1334187,109021,247560,821292,0,0,8
1314758,108353,248478,840470,0,0,8
1295565,107640,249146,859709,0,0,8
1276632,106845,249601,878981,0,0,8
1257979,105956,249861,898264,0,0,8
1239619,104967,249936,917538,0,0,8
1221567,103875,249833,936785,0,0,8
1203831,102686,249553,955989,0,0,8
1186420,101410,249094,975136,0,0,8
1169340,100061,248446,994213,0,0,8
1152592,98662,247596,1013210,0,0,8
1136178,97238,246525,1032119,0,0,8
1120102,95798,245235,1050926,0,0,8
1104378,94313,243763,1069606,0,0,8
1089012,92783,242122,1088143,0,0,8
1074006,91208,240324,1106522,0,0,8
1059364,89589,238377,1124730,0,0,8
1045087,87932,236288,1142753,0,0,8
1031176,86240,234063,1160580,0,0,8
1017630,84522,231707,1178202,0,0,8
1004446,82786,229221,1195607,0,0,8
991621,81042,226607,1212790,0,0,8
979152,79303,223862,1229743,0,0,8
967038,77563,221005,1246454,0,0,8
955283,75798,218075,1262905,0,0,8
943879,74023,215065,1279092,0,0,8
932821,72255,211969,1295015,0,0,8
922100,70506,208783,1310671,0,0,8
911710,68786,205509,1326055,0,0,8
901647,67099,202149,1341165,0,0,8
891904,65449,198711,1355996,0,0,8
882477,63834,195207,1370542,0,0,8
873362,62251,191648,1384799,0,0,8
864554,60691,188054,1398761,0,0,8
856052,59145,184444,1412420,0,0,8
847852,57597,180842,1425769,0,0,8
839953,56030,177276,1438801,0,0,8
832345,54452,173745,1451518,0,0,8
825015,52899,170215,1463931,0,0,8
817954,51381,166679,1476046,0,0,8
811153,49908,163134,1487865,0,0,8
804606,48482,159581,1499391,0,0,8
798306,47102,156026,1510626,0,0,8
792247,45767,152478,1521569,0,0,8
786426,44467,148948,1532219,0,0,8
780838,43192,145455,1542576,0,0,8
775480,41926,142019,1552635,0,0,8
770347,40670,138642,1562401,0,0,8
765428,39442,135307,1571883,0,0,8
760715,38249,132009,1581088,0,0,8
756202,37093,128745,1590020,0,0,8
751883,35978,125516,1598684,0,0,8
747752,34901,122323,1607084,0,0,8
743803,33860,119172,1615224,0,0,8
740034,32851,116069,1623106,0,0,8
736439,31866,113024,1630731,0,0,8
733015,30897,110046,1638102,0,0,8
729758,29941,107139,1645222,0,0,8
726660,29009,104292,1652100,0,0,8
723715,28105,101499,1658742,0,0,8
720918,27232,98755,1665155,0,0,8
718263,26392,96059,1671345,0,0,8
715747,25585,93411,1677317,0,0,8
713364,24810,90811,1683074,0,0,8
711111,24064,88264,1688621,0,0,8
708986,23340,85773,1693962,0,0,8
706984,22633,83345,1699097,0,0,8
705105,21936,80989,1704030,0,0,8
703343,21248,78703,1708766,0,0,8
701693,20579,76475,1713313,0,0,8
700151,19932,74301,1717677,0,0,8
698713,19308,72176,1721863,0,0,8
697374,18710,70098,1725878,0,0,8
696133,18136,68066,1729725,0,0,8
694984,17586,66081,1733409,0,0,8
693927,17057,64143,1736933,0,0,8
692959,16546,62254,1740301,0,0,8
692077,16048,60419,1743516,0,0,8
691279,15559,58643,1746579,0,0,8
690564,15076,56926,1749494,0,0,8
689927,14605,55259,1752268,0,0,8
689366,14150,53639,1754906,0,0,8
688876,13711,52061,1757412,0,0,8
688457,13289,50524,1759791,0,0,8
688104,12884,49026,1762046,0,0,8
687817,12495,47566,1764181,0,0,8
687593,12122,46145,1766200,0,0,8
687430,11763,44763,1768105,0,0,8
687327,11414,43421,1769898,0,0,8
687283,11074,42121,1771582,0,0,8
687295,10739,40867,1773160,0,0,8
687362,10410,39653,1774634,0,0,8
687481,10092,38477,1776010,0,0,8
687651,9784,37334,1777291,0,0,8
687869,9488,36224,1778480,0,0,8
688134,9203,35144,1779579,0,0,8
688444,8928,34095,1780593,0,0,8
688798,8665,33074,1781523,0,0,8
689194,8412,32083,1782371,0,0,8
689632,8167,31120,1783141,0,0,8
690109,7930,30187,1783834,0,0,8
690626,7699,29284,1784451,0,0,8
691180,7472,28412,1784996,0,0,8
691772,7250,27570,1785469,0,0,8
692398,7034,26754,1785875,0,0,8
