(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
1336195,20,47,1175799,0,0,8
1337366,20,47,1174628,0,0,8
1338536,20,47,1173457,0,0,8
1339705,20,47,1172288,0,0,8
1340873,20,47,1171120,0,0,8
1342040,20,47,1169954,0,0,8
1343205,20,47,1168788,0,0,8
1344369,20,47,1167624,0,0,8
1345532,20,47,1166461,0,0,8
1346694,20,47,1165299,0,0,8
1347855,20,47,1164138,0,0,8
1349015,20,47,1162978,0,0,8
1350173,20,48,1161819,0,0,8
1351330,20,48,1160662,0,0,8
1352486,20,48,1159506,0,0,8
1353641,20,48,1158351,0,0,8
1354795,20,48,1157197,0,0,8
1355948,20,48,1156044,0,0,8
1357099,20,48,1154893,0,0,8
1358249,20,48,1153742,0,0,8
1359398,20,48,1152593,0,0,8
1360546,20,48,1151445,0,0,8
1361693,21,48,1150298,0,0,8
1362839,21,49,1149152,0,0,8
1363983,21,49,1148008,0,0,8
1365126,21,49,1146864,0,0,8
1366269,21,49,1145722,0,0,8
1367409,21,49,1144581,0,0,8
1368549,21,49,1143441,0,0,8
1369688,21,49,1142302,0,0,8
1370826,21,49,1141164,0,0,8
1371962,21,49,1140028,0,0,8
1373097,21,50,1138892,0,0,8
1374231,21,50,1137758,0,0,8
1375364,21,50,1136625,0,0,8
1376496,21,50,1135493,0,0,8
1377627,21,50,1134362,0,0,8
1378756,22,50,1133232,0,0,8
1379884,22,50,1132104,0,0,8
1381012,22,51,1130976,0,0,8
1382138,22,51,1129850,0,0,8
1383263,22,51,1128725,0,0,8
1384386,22,51,1127601,0,0,8
1385509,22,51,1126478,0,0,8
1386630,22,51,1125356,0,0,8
1387751,22,52,1124235,0,0,8
1388870,22,52,1123116,0,0,8
1389988,22,52,1121998,0,0,8
1391105,22,52,1120880,0,0,8
1392221,23,52,1119764,0,0,8
1393335,23,52,1118649,0,0,8
1394449,23,53,1117536,0,0,8
1395561,23,53,1116423,0,0,8
1396673,23,53,1115311,0,0,8
1397783,23,53,1114201,0,0,8
1398892,23,53,1113092,0,0,8
1400000,23,54,1111983,0,0,8
1401106,23,54,1110876,0,0,8
1402212,23,54,1109770,0,0,8
1403317,24,54,1108666,0,0,8
1404420,24,54,1107562,0,0,8
1405522,24,55,1106459,0,0,8
1406623,24,55,1105358,0,0,8
1407723,24,55,1104258,0,0,8
1408822,24,55,1103158,0,0,8
1409920,24,56,1102060,0,0,8
1411017,24,56,1100963,0,0,8
1412112,24,56,1099867,0,0,8
1413206,25,56,1098773,0,0,8
1414300,25,57,1097679,0,0,8
1415392,25,57,1096587,0,0,8
1416483,25,57,1095495,0,0,8
1417573,25,57,1094405,0,0,8
1418662,25,58,1093316,0,0,8
1419749,25,58,1092228,0,0,8
1420836,26,58,1091141,0,0,8
1421921,26,58,1090055,0,0,8
1423006,26,59,1088970,0,0,8
1424089,26,59,1087886,0,0,8
1425171,26,59,1086804,0,0,8
1426252,26,60,1085722,0,0,8
1427332,26,60,1084642,0,0,8
1428411,26,60,1083563,0,0,8
1429488,27,60,1082485,0,0,8
1430565,27,61,1081408,0,0,8
1431640,27,61,1080332,0,0,8
1432715,27,61,1079257,0,0,8
1433788,27,62,1078183,0,0,8
1434860,27,62,1077111,0,0,8
1435931,28,62,1076039,0,0,8
1437001,28,63,1074969,0,0,8
1438070,28,63,1073899,0,0,8
1439137,28,63,1072831,0,0,8
1440204,28,64,1071764,0,0,8
1441270,28,64,1070698,0,0,8
1442334,29,64,1069633,0,0,8
1443397,29,65,1068569,0,0,8
1444460,29,65,1067506,0,0,8
1445521,29,65,1066445,0,0,8
1446581,29,66,1065384,0,0,8
1447640,30,66,1064325,0,0,8
1448697,30,67,1063266,0,0,8
1449754,30,67,1062209,0,0,8
1450810,30,67,1061153,0,0,8
1451864,30,68,1060098,0,0,8
1452918,30,68,1059044,0,0,8
1453970,31,69,1057991,0,0,8
1455021,31,69,1056939,0,0,8
1456071,31,70,1055888,0,0,8
1457120,31,70,1054838,0,0,8
1458168,32,70,1053790,0,0,8
1459215,32,71,1052742,0,0,8
1460261,32,71,1051696,0,0,8
1461306,32,72,1050650,0,0,8
1462349,32,72,1049606,0,0,8
1463392,33,73,1048563,0,0,8
1464433,33,73,1047521,0,0,8
1465474,33,74,1046480,0,0,8
1466513,33,74,1045440,0,0,8
1467551,34,75,1044401,0,0,8
1468588,34,75,1043363,0,0,8
1469624,34,76,1042326,0,0,8
1470659,34,76,1041291,0,0,8
1471693,35,77,1040256,0,0,8
1472725,35,77,1039223,0,0,8
1473757,35,78,1038190,0,0,8
1474787,35,78,1037159,0,0,8
1475817,36,79,1036129,0,0,8
1476845,36,79,1035099,0,0,8
1477873,36,80,1034071,0,0,8
1478899,36,81,1033044,0,0,8
1479924,37,81,1032018,0,0,8
1480948,37,82,1030993,0,0,8
1481971,37,82,1029970,0,0,8
1482993,38,83,1028947,0,0,8
1484014,38,83,1027925,0,0,8
1485033,38,84,1026905,0,0,8
1486052,39,85,1025885,0,0,8
1487069,39,85,1024866,0,0,8
1488086,39,86,1023849,0,0,8
1489101,39,87,1022833,0,0,8
1490116,40,87,1021817,0,0,8
1491129,40,88,1020803,0,0,8
1492141,40,89,1019790,0,0,8
1493152,41,89,1018778,0,0,8
1494162,41,90,1017767,0,0,8
1495171,41,91,1016757,0,0,8
1496179,42,91,1015748,0,0,8
1497185,42,92,1014740,0,0,8
1498191,43,93,1013734,0,0,8
1499195,43,94,1012728,0,0,8
1500199,43,94,1011723,0,0,8
1501201,44,95,1010720,0,0,8
1502203,44,96,1009717,0,0,8
1503203,44,97,1008716,0,0,8
1504202,45,98,1007716,0,0,8
1505200,45,98,1006716,0,0,8
1506197,46,99,1005718,0,0,8
1507193,46,100,1004721,0,0,8
1508188,46,101,1003725,0,0,8
1509182,47,102,1002730,0,0,8
1510174,47,102,1001736,0,0,8
1511166,48,103,1000743,0,0,8
1512157,48,104,999751,0,0,8
1513146,48,105,998760,0,0,8
1514134,49,106,997771,0,0,8
1515122,49,107,996782,0,0,8
1516108,50,108,995794,0,0,8
1517093,50,109,994808,0,0,8
1518077,51,110,993823,0,0,8
1519060,51,111,992838,0,0,8
1520042,52,112,991855,0,0,8
1521023,52,113,990873,0,0,8
1522002,53,114,989891,0,0,8
1522981,53,115,988911,0,0,8
1523959,54,116,987932,0,0,8
1524935,54,117,986954,0,0,8
1525910,55,118,985977,0,0,8
1526885,55,119,985001,0,0,8
1527858,56,120,984026,0,0,8
1528830,56,121,983053,0,0,8
1529801,57,122,982080,0,0,8
1530771,57,123,981108,0,0,8
1531740,58,124,980138,0,0,8
1532708,59,126,979168,0,0,8
1533674,59,127,978200,0,0,8
1534640,60,128,977232,0,0,8
1535605,60,129,976266,0,0,8
1536568,61,130,975301,0,0,8
1537530,61,132,974336,0,0,8
1538492,62,133,973373,0,0,8
1539452,63,134,972411,0,0,8
1540411,63,136,971450,0,0,8
1541369,64,137,970490,0,0,8
1542326,65,138,969531,0,0,8
1543281,65,139,968574,0,0,8
1544236,66,141,967617,0,0,8
1545190,67,142,966661,0,0,8
1546142,68,144,965707,0,0,8
1547094,68,145,964753,0,0,8
1548044,69,147,963801,0,0,8
1548993,69,148,962849,0,0,8
1549941,70,150,961899,0,0,8
1550888,71,151,960950,0,0,8
1551834,72,153,960001,0,0,8
1552779,72,154,959054,0,0,8
1553723,73,156,958108,0,0,8
1554665,74,157,957163,0,0,8
1555607,75,159,956219,0,0,8
1556547,76,160,955277,0,0,8
1557486,77,162,954335,0,0,8
1558424,77,164,953394,0,0,8
1559361,78,166,952455,0,0,8
1560297,79,167,951516,0,0,8
1561232,80,169,950579,0,0,8
1562166,81,171,949642,0,0,8
1563098,82,173,948707,0,0,8
1564030,83,175,947773,0,0,8
1564960,84,176,946840,0,0,8
1565889,85,178,945908,0,0,8
1566817,85,180,944977,0,0,8
1567744,86,182,944047,0,0,8
1568670,87,184,943118,0,0,8
1569595,88,186,942191,0,0,8
1570518,89,188,941264,0,0,8
1571441,90,190,940339,0,0,8
1572362,91,193,939414,0,0,8
1573282,92,195,938491,0,0,8
1574201,93,197,937569,0,0,8
1575119,95,199,936648,0,0,8
1576036,96,201,935728,0,0,8
1576951,97,203,934809,0,0,8
1577866,98,206,933891,0,0,8
1578779,99,208,932974,0,0,8
1579691,100,210,932059,0,0,8
1580602,101,213,931144,0,0,8
1581512,103,215,930231,0,0,8
1582420,104,218,929318,0,0,8
1583328,105,220,928407,0,0,8
1584234,106,223,927497,0,0,8
1585139,108,225,926588,0,0,8
1586043,109,228,925680,0,0,8
1586946,110,230,924774,0,0,8
1587847,112,233,923868,0,0,8
1588748,113,236,922964,0,0,8
1589647,114,238,922060,0,0,8
1590545,116,241,921158,0,0,8
1591442,117,244,920257,0,0,8
1592338,118,247,919357,0,0,8
1593232,120,250,918458,0,0,8
1594125,121,253,917560,0,0,8
1595017,123,256,916664,0,0,8
1595908,124,259,915769,0,0,8
1596798,126,262,914874,0,0,8
1597686,128,265,913981,0,0,8
1598573,129,268,913089,0,0,8
1599459,131,271,912198,0,0,8
1600344,133,275,911309,0,0,8
1601228,134,278,910420,0,0,8
1602110,136,281,909533,0,0,8
1602991,137,285,908647,0,0,8
1603871,139,289,907762,0,0,8
1604749,141,292,906878,0,0,8
1605627,142,296,905995,0,0,8
1606503,144,300,905114,0,0,8
1607377,146,303,904233,0,0,8
1608251,148,307,903354,0,0,8
1609123,150,311,902476,0,0,8
1609994,152,314,901599,0,0,8
1610864,154,318,900724,0,0,8
1611732,156,322,899850,0,0,8
1612599,158,326,898976,0,0,8
1613465,160,331,898104,0,0,8
1614329,162,335,897234,0,0,8
1615193,164,339,896364,0,0,8
1616055,166,344,895496,0,0,8
1616915,168,348,894628,0,0,8
1617774,171,353,893763,0,0,8
1618632,173,357,892898,0,0,8
1619489,176,361,892035,0,0,8
1620344,178,366,891172,0,0,8
1621198,180,371,890311,0,0,8
1622050,183,376,889452,0,0,8
1622901,185,380,888593,0,0,8
1623751,188,386,887736,0,0,8
1624599,190,391,886880,0,0,8
1625446,192,396,886025,0,0,8
1626292,195,401,885172,0,0,8
1627136,198,406,884320,0,0,8
1627979,200,412,883469,0,0,8
1628820,203,417,882619,0,0,8
1629660,206,423,881771,0,0,8
1630499,209,428,880924,0,0,8
1631336,212,434,880078,0,0,8
1632171,215,440,879234,0,0,8
1633006,218,446,878391,0,0,8
1633838,221,452,877549,0,0,8
1634670,224,458,876709,0,0,8
1635499,227,464,875870,0,0,8
1636328,230,470,875032,0,0,8
1637154,233,477,874196,0,0,8
1637979,237,483,873361,0,0,8
1638803,240,490,872527,0,0,8
1639625,243,496,871695,0,0,8
1640446,247,503,870864,0,0,8
1641265,250,510,870035,0,0,8
1642083,254,517,869206,0,0,8
1642899,257,524,868380,0,0,8
1643713,261,532,867554,0,0,8
1644526,264,539,866730,0,0,8
1645337,268,547,865908,0,0,8
1646147,272,554,865087,0,0,8
1646954,276,562,864267,0,0,8
1647761,280,570,863449,0,0,8
1648565,285,578,862633,0,0,8
1649368,289,586,861817,0,0,8
1650169,293,594,861004,0,0,8
1650969,297,602,860191,0,0,8
1651767,301,611,859381,0,0,8
1652563,306,620,858571,0,0,8
1653358,310,629,857764,0,0,8
1654150,314,638,856957,0,0,8
1654941,319,647,856153,0,0,8
1655731,323,657,855349,0,0,8
1656518,328,666,854548,0,0,8
1657303,333,675,853748,0,0,8
1658087,339,685,852950,0,0,8
1658869,344,694,852153,0,0,8
1659649,349,704,851358,0,0,8
1660427,354,715,850564,0,0,8
1661203,360,725,849772,0,0,8
1661978,365,736,848982,0,0,8
1662750,370,747,848193,0,0,8
1663521,375,758,847406,0,0,8
1664290,380,770,846620,0,0,8
1665056,386,781,845837,0,0,8
1665821,391,793,845055,0,0,8
1666583,398,804,844275,0,0,8
1667344,404,816,843496,0,0,8
1668102,411,828,842720,0,0,8
1668858,417,840,841945,0,0,8
1669613,424,852,841172,0,0,8
1670365,430,865,840400,0,0,8
1671115,437,878,839630,0,0,8
1671863,443,891,838863,0,0,8
1672609,449,905,838096,0,0,8
1673353,456,919,837332,0,0,8
1674094,462,933,836570,0,0,8
1674833,470,947,835810,0,0,8
1675570,477,961,835051,0,0,8
1676304,485,976,834295,0,0,8
1677037,493,990,833540,0,0,8
1677766,501,1005,832788,0,0,8
1678494,509,1020,832037,0,0,8
1679219,517,1036,831289,0,0,8
1679942,525,1052,830542,0,0,8
1680662,532,1068,829797,0,0,8
1681380,540,1085,829055,0,0,8
1682095,549,1102,828314,0,0,8
1682808,557,1119,827576,0,0,8
1683518,567,1136,826840,0,0,8
1684225,576,1153,826106,0,0,8
1684930,585,1171,825374,0,0,8
1685632,595,1189,824644,0,0,8
1686332,604,1207,823917,0,0,8
1687029,614,1226,823191,0,0,8
1687723,623,1246,822468,0,0,8
1688414,633,1265,821748,0,0,8
1689103,643,1286,821029,0,0,8
1689788,653,1306,820313,0,0,8
1690471,663,1326,819599,0,0,8
1691151,674,1347,818888,0,0,8
1691827,685,1368,818179,0,0,8
1692501,697,1389,817473,0,0,8
1693172,708,1411,816769,0,0,8
1693839,720,1434,816067,0,0,8
1694504,731,1456,815368,0,0,8
1695165,743,1480,814672,0,0,8
1695824,755,1504,813978,0,0,8
1696479,767,1528,813286,0,0,8
1697131,779,1553,812598,0,0,8
1697779,791,1578,811912,0,0,8
1698424,804,1603,811228,0,0,8
1699065,818,1629,810548,0,0,8
1699703,832,1655,809870,0,0,8
1700338,846,1681,809196,0,0,8
1700968,861,1707,808524,0,0,8
1701595,875,1735,807855,0,0,8
1702219,890,1763,807189,0,0,8
1702839,904,1791,806525,0,0,8
1703456,919,1821,805865,0,0,8
1704068,933,1851,805208,0,0,8
1704677,948,1882,804553,0,0,8
1705282,962,1914,803902,0,0,8
1705883,978,1946,803254,0,0,8
1706479,994,1978,802609,0,0,8
1707072,1010,2010,801968,0,0,8
1707660,1028,2043,801330,0,0,8
1708244,1046,2075,800695,0,0,8
1708823,1065,2109,800064,0,0,8
1709398,1083,2143,799436,0,0,8
1709969,1101,2178,798811,0,0,8
1710536,1119,2215,798190,0,0,8
1711098,1138,2252,797572,0,0,8
1711656,1156,2290,796958,0,0,8
1712209,1175,2329,796348,0,0,8
1712757,1194,2368,795741,0,0,8
1713300,1215,2407,795138,0,0,8
1713838,1236,2447,794539,0,0,8
1714371,1257,2487,793944,0,0,8
1714900,1279,2528,793353,0,0,8
1715423,1301,2570,792766,0,0,8
1715941,1323,2613,792183,0,0,8
1716454,1346,2657,791604,0,0,8
1716961,1368,2702,791028,0,0,8
1717463,1391,2748,790458,0,0,8
1717960,1414,2795,789891,0,0,8
1718451,1438,2842,789329,0,0,8
1718936,1463,2890,788771,0,0,8
1719415,1489,2939,788218,0,0,8
1719888,1515,2988,787669,0,0,8
1720356,1541,3038,787125,0,0,8
1720817,1568,3089,786586,0,0,8
1721272,1595,3141,786051,0,0,8
1721722,1623,3195,785521,0,0,8
1722164,1650,3250,784996,0,0,8
1722601,1678,3306,784476,0,0,8
1723031,1706,3363,783960,0,0,8
1723454,1735,3421,783450,0,0,8
1723871,1764,3480,782945,0,0,8
1724280,1795,3539,782446,0,0,8
1724683,1827,3599,781952,0,0,8
1725078,1860,3659,781463,0,0,8
1725465,1894,3721,780980,0,0,8
1725846,1928,3784,780503,0,0,8
1726219,1962,3848,780031,0,0,8
1726585,1996,3914,779565,0,0,8
1726943,2030,3983,779104,0,0,8
1727294,2064,4052,778650,0,0,8
1727637,2098,4124,778201,0,0,8
1727973,2132,4197,777758,0,0,8
1728300,2168,4271,777322,0,0,8
1728618,2204,4346,776892,0,0,8
1728928,2242,4422,776468,0,0,8
1729228,2283,4497,776052,0,0,8
1729520,2325,4573,775643,0,0,8
1729802,2367,4651,775240,0,0,8
1730076,2410,4730,774844,0,0,8
1730341,2453,4811,774454,0,0,8
1730597,2496,4895,774072,0,0,8
1730843,2539,4981,773697,0,0,8
1731081,2582,5069,773328,0,0,8
1731308,2625,5159,772968,0,0,8
1731526,2670,5250,772614,0,0,8
1731733,2716,5342,772269,0,0,8
1731929,2765,5435,771932,0,0,8
1732115,2815,5528,771603,0,0,8
1732290,2866,5623,771282,0,0,8
1732454,2917,5720,770969,0,0,8
1732608,2969,5820,770664,0,0,8
1732750,3021,5921,770367,0,0,8
1732882,3073,6026,770079,0,0,8
1733002,3126,6132,769799,0,0,8
1733111,3180,6241,769529,0,0,8
1733208,3234,6351,769267,0,0,8
1733292,3291,6463,769015,0,0,8
1733364,3350,6575,768772,0,0,8
1733423,3410,6689,768539,0,0,8
1733469,3472,6804,768315,0,0,8
1733502,3534,6922,768102,0,0,8
1733523,3597,7043,767898,0,0,8
1733530,3660,7166,767704,0,0,8
1733524,3723,7293,767520,0,0,8
1733505,3787,7422,767346,0,0,8
1733472,3852,7554,767182,0,0,8
1733425,3917,7688,767030,0,0,8
1733363,3984,7824,766888,0,0,8
1733286,4054,7962,766758,0,0,8
1733194,4126,8101,766639,0,0,8
1733086,4201,8240,766533,0,0,8
1732963,4278,8381,766438,0,0,8
1732824,4356,8525,766355,0,0,8
1732670,4434,8672,766284,0,0,8
1732499,4512,8824,766224,0,0,8
1732314,4590,8979,766177,0,0,8
1732112,4668,9138,766142,0,0,8
1731893,4746,9302,766119,0,0,8
1731658,4824,9469,766110,0,0,8
1731405,4903,9638,766113,0,0,8
1731135,4985,9810,766130,0,0,8
1730845,5070,9982,766162,0,0,8
1730537,5161,10155,766208,0,0,8
1730209,5255,10328,766269,0,0,8
1729862,5350,10504,766344,0,0,8
1729497,5446,10683,766434,0,0,8
1729112,5543,10867,766538,0,0,8
1728709,5639,11056,766656,0,0,8
1728286,5734,11250,766790,0,0,8
1727844,5830,11449,766938,0,0,8
1727381,5926,11651,767102,0,0,8
1726898,6024,11856,767282,0,0,8
1726392,6126,12063,767479,0,0,8
1725864,6232,12270,767693,0,0,8
1725314,6342,12479,767925,0,0,8
1724741,6454,12691,768173,0,0,8
1724147,6567,12907,768439,0,0,8
1723530,6681,13128,768721,0,0,8
1722890,6794,13354,769022,0,0,8
1722228,6908,13585,769339,0,0,8
1721542,7022,13820,769675,0,0,8
1720833,7137,14060,770030,0,0,8
1720099,7254,14303,770403,0,0,8
1719340,7375,14549,770796,0,0,8
1718555,7500,14796,771209,0,0,8
1717744,7630,15044,771642,0,0,8
1716907,7761,15296,772096,0,0,8
1716044,7894,15552,772570,0,0,8
1715156,8027,15814,773064,0,0,8
1714241,8161,16081,773578,0,0,8
1713299,8294,16353,774113,0,0,8
1712331,8427,16632,774670,0,0,8
1711336,8561,16915,775247,0,0,8
1710313,8697,17203,775847,0,0,8
1709261,8835,17495,776470,0,0,8
1708179,8977,17788,777115,0,0,8
1707067,9126,18082,777785,0,0,8
1705924,9280,18376,778480,0,0,8
1704751,9437,18674,779198,0,0,8
1703548,9596,18976,779940,0,0,8
1702315,9754,19284,780706,0,0,8
1701053,9911,19600,781496,0,0,8
1699760,10067,19923,782310,0,0,8
1698438,10221,20254,783148,0,0,8
1697084,10374,20591,784011,0,0,8
1695698,10527,20935,784900,0,0,8
1694281,10682,21282,785815,0,0,8
1692829,10842,21632,786757,0,0,8
1691342,11009,21981,787728,0,0,8
1689819,11187,22326,788728,0,0,8
1688261,11371,22671,789757,0,0,8
1686668,11559,23020,790814,0,0,8
1685041,11745,23375,791899,0,0,8
1683382,11929,23739,793011,0,0,8
1681689,12109,24112,794150,0,0,8
1679963,12285,24496,795317,0,0,8
1678203,12457,24888,796512,0,0,8
1676408,12627,25289,797736,0,0,8
1674577,12798,25694,798990,0,0,8
1672709,12975,26100,800276,0,0,8
1670802,13161,26503,801594,0,0,8
1668853,13361,26899,802947,0,0,8
1666866,13568,27294,804332,0,0,8
1664841,13776,27694,805749,0,0,8
1662780,13983,28100,807197,0,0,8
1660682,14186,28516,808676,0,0,8
1658548,14384,28941,810187,0,0,8
1656378,14578,29376,811728,0,0,8
1654171,14769,29818,813302,0,0,8
1651926,14959,30266,814909,0,0,8
1649642,15153,30716,816549,0,0,8
1647316,15356,31163,818226,0,0,8
1644947,15569,31603,819940,0,0,8
1642538,15788,32044,821689,0,0,8
1640090,16007,32490,823473,0,0,8
1637604,16224,32941,825291,0,0,8
1635079,16438,33399,827144,0,0,8
1632516,16648,33865,829031,0,0,8
1629915,16855,34337,830952,0,0,8
1627275,17060,34816,832909,0,0,8
1624596,17266,35297,834901,0,0,8
1621876,17474,35779,836931,0,0,8
1619114,17689,36258,838999,0,0,8
1616310,17912,36733,841105,0,0,8
1613466,18137,37208,843249,0,0,8
1610583,18362,37687,845429,0,0,8
1607660,18584,38170,847646,0,0,8
1604700,18802,38658,849900,0,0,8
1601702,19016,39153,852189,0,0,8
1598666,19226,39653,854515,0,0,8
1595592,19433,40158,856878,0,0,8
1592479,19638,40664,859278,0,0,8
1589327,19846,41170,861717,0,0,8
1586135,20058,41672,864195,0,0,8
1582902,20278,42167,866713,0,0,8
1579629,20504,42656,869271,0,0,8
1576317,20731,43145,871867,0,0,8
1572970,20955,43636,874500,0,0,8
1569586,21172,44132,877170,0,0,8
1566168,21383,44633,879876,0,0,8
1562716,21586,45140,882618,0,0,8
1559229,21782,45653,885396,0,0,8
1555709,21972,46168,888211,0,0,8
1552154,22160,46684,891063,0,0,8
1548563,22348,47196,893953,0,0,8
1544935,22543,47699,896882,0,0,8
1541270,22749,48188,899853,0,0,8
1537568,22965,48665,902863,0,0,8
1533832,23181,49136,905911,0,0,8
1530065,23393,49607,908995,0,0,8
1526269,23596,50082,912113,0,0,8
1522445,23787,50563,915265,0,0,8
1518594,23967,51050,918450,0,0,8
1514716,24134,51542,921668,0,0,8
1510811,24292,52038,924919,0,0,8
1506879,24445,52531,928205,0,0,8
1502918,24598,53018,931526,0,0,8
1498928,24758,53491,934884,0,0,8
1494905,24934,53941,938280,0,0,8
1490853,25119,54373,941714,0,0,8
1486777,25303,54799,945181,0,0,8
1482677,25480,55222,948680,0,0,8
1478558,25647,55646,952209,0,0,8
1474419,25799,56075,955767,0,0,8
1470263,25939,56506,959352,0,0,8
1466089,26065,56940,962966,0,0,8
1461897,26183,57371,966609,0,0,8
1457688,26296,57797,970280,0,0,8
1453459,26411,58208,973982,0,0,8
1449208,26537,58598,977716,0,0,8
1444938,26674,58966,981483,0,0,8
1440652,26808,59323,985276,0,0,8
1436354,26936,59675,989095,0,0,8
1432044,27054,60023,992939,0,0,8
1427725,27160,60370,996805,0,0,8
1423399,27254,60715,1000693,0,0,8
1419064,27337,61057,1004602,0,0,8
1414722,27410,61395,1008533,0,0,8
1410374,27478,61723,1012485,0,0,8
1406017,27546,62037,1016460,0,0,8
1401651,27620,62330,1020459,0,0,8
1397278,27699,62603,1024479,0,0,8
1392901,27776,62864,1028519,0,0,8
1388522,27846,63115,1032576,0,0,8
1384144,27906,63360,1036649,0,0,8
1379767,27956,63600,1040737,0,0,8
1375393,27994,63836,1044837,0,0,8
1371023,28021,64065,1048950,0,0,8
1366657,28039,64288,1053076,0,0,8
1362295,28051,64500,1057213,0,0,8
1357939,28060,64699,1061363,0,0,8
1353586,28070,64879,1065525,0,0,8
1349237,28087,65035,1069701,0,0,8
1344894,28105,65174,1073886,0,0,8
1340561,28119,65301,1078080,0,0,8
1336238,28124,65417,1082280,0,0,8
1331929,28120,65527,1086484,0,0,8
1327634,28103,65632,1090691,0,0,8
1323354,28075,65731,1094900,0,0,8
1319091,28035,65824,1099110,0,0,8
1314844,27986,65909,1103321,0,0,8
1310614,27930,65984,1107532,0,0,8
1306400,27873,66043,1111744,0,0,8
1302202,27817,66083,1115957,0,0,8
1298019,27771,66098,1120172,0,0,8
1293854,27729,66090,1124388,0,0,8
1289708,27684,66068,1128600,0,0,8
1285585,27633,66035,1132806,0,0,8
1281486,27572,65997,1137005,0,0,8
1277412,27499,65953,1141195,0,0,8
1273365,27413,65906,1145375,0,0,8
1269346,27315,65855,1149544,0,0,8
1265354,27206,65799,1153701,0,0,8
1261389,27089,65735,1157846,0,0,8
1257452,26969,65658,1161981,0,0,8
1253541,26851,65564,1166104,0,0,8
1249655,26741,65445,1170219,0,0,8
1245793,26644,65299,1174324,0,0,8
1241960,26548,65137,1178415,0,0,8
1238158,26448,64963,1182491,0,0,8
1234388,26341,64783,1186549,0,0,8
1230652,26222,64600,1190586,0,0,8
1226951,26092,64414,1194603,0,0,8
1223285,25950,64227,1198598,0,0,8
1219655,25797,64037,1202570,0,0,8
1216060,25637,63842,1206520,0,0,8
1212500,25472,63639,1210449,0,0,8
1208974,25309,63421,1214356,0,0,8
1205480,25154,63183,1218243,0,0,8
1202018,25012,62919,1222111,0,0,8
1198590,24873,62640,1225957,0,0,8
1195198,24732,62352,1229778,0,0,8
1191845,24586,62058,1233571,0,0,8
1188530,24432,61762,1237336,0,0,8
1185255,24268,61464,1241072,0,0,8
1182020,24096,61166,1244778,0,0,8
1178824,23916,60866,1248454,0,0,8
1175668,23730,60562,1252099,0,0,8
1172552,23542,60252,1255715,0,0,8
1169473,23355,59931,1259302,0,0,8
1166430,23175,59595,1262860,0,0,8
1163424,23005,59239,1266391,0,0,8
1160456,22838,58874,1269892,0,0,8
1157528,22669,58502,1273360,0,0,8
1154640,22497,58128,1276795,0,0,8
1151793,22319,57751,1280196,0,0,8
1148988,22136,57375,1283562,0,0,8
1146224,21947,56998,1286892,0,0,8
1143501,21752,56620,1290187,0,0,8
1140818,21554,56241,1293446,0,0,8
1138176,21355,55858,1296671,0,0,8
1135574,21158,55468,1299860,0,0,8
1133010,20966,55068,1303017,0,0,8
1130484,20782,54655,1306140,0,0,8
1127996,20602,54234,1309228,0,0,8
1125549,20422,53809,1312280,0,0,8
1123141,20240,53383,1315296,0,0,8
1120775,20056,52956,1318273,0,0,8
1118449,19867,52531,1321213,0,0,8
1116164,19674,52108,1324113,0,0,8
1113920,19478,51687,1326976,0,0,8
1111715,19279,51266,1329800,0,0,8
1109551,19078,50845,1332586,0,0,8
1107425,18878,50423,1335334,0,0,8
1105338,18681,49995,1338046,0,0,8
1103288,18491,49560,1340721,0,0,8
1101274,18309,49115,1343362,0,0,8
1099297,18131,48666,1345966,0,0,8
1097359,17956,48214,1348532,0,0,8
1095459,17779,47764,1351059,0,0,8
1093597,17599,47316,1353548,0,0,8
1091774,17416,46873,1355997,0,0,8
1089990,17230,46434,1358407,0,0,8
1088244,17039,46000,1360777,0,0,8
1086536,16846,45571,1363108,0,0,8
1084865,16651,45144,1365400,0,0,8
1083231,16456,44718,1367655,0,0,8
1081632,16265,44291,1369873,0,0,8
1080067,16080,43859,1372054,0,0,8
1078535,15905,43418,1374202,0,0,8
1077037,15740,42969,1376314,0,0,8
1075572,15579,42518,1378391,0,0,8
1074143,15418,42069,1380430,0,0,8
1072748,15256,41625,1382431,0,0,8
1071389,15090,41187,1384394,0,0,8
1070065,14920,40757,1386318,0,0,8
1068777,14744,40336,1388204,0,0,8
1067523,14565,39921,1390051,0,0,8
1066302,14383,39513,1391862,0,0,8
1065115,14200,39109,1393635,0,0,8
1063960,14021,38705,1395374,0,0,8
1062835,13848,38298,1397079,0,0,8
1061739,13686,37883,1398752,0,0,8
1060672,13537,37458,1400393,0,0,8
1059634,13392,37032,1402001,0,0,8
1058628,13248,36610,1403574,0,0,8
1057652,13103,36193,1405111,0,0,8
1056708,12954,35784,1406613,0,0,8
1055795,12802,35384,1408080,0,0,8
1054913,12646,34991,1409511,0,0,8
1054061,12486,34607,1410907,0,0,8
1053238,12326,34228,1412269,0,0,8
1052444,12166,33852,1413598,0,0,8
1051677,12011,33476,1414896,0,0,8
1050936,11865,33096,1416164,0,0,8
1050220,11729,32709,1417402,0,0,8
1049530,11597,32323,1418610,0,0,8
