Estados,0
AC,56257
AL,129917
AM,312339
AP,83062
BA,669821
CE,420369
DF,293782
ES,323043
GO,391196
MA,218156
MG,862502
MS,179144
MT,248444
PA,362488
PB,217121
PE,295681
PI,172525
PR,633553
RJ,579118
RN,164761
RO,146426
RR,80923
RS,624831
SC,657649
SE,149637
SP,2014529
TO,112054
